"","Country","Year","male_death_rate","female_death_rate"
"3702","Slovenia",2007,55.79,14.76
"3703","Slovenia",2008,52.66,14.76
"3704","Slovenia",2009,46.76,14.28
"3705","Slovenia",2010,50.28,14.92
"3706","Slovenia",2011,47.34,15.73
"3707","Slovenia",2012,45.7,16.13
"3708","Slovenia",2013,41.99,16.03
"3709","Slovenia",2014,43.48,17.69
"3710","Slovenia",2015,45.59,15.82
"3711","Slovenia",2016,43.3,16.96
"3712","Slovenia",2017,40.44,19.56
"3713","Slovenia",2018,37.93,19.36
"3714","Slovenia",2019,37.41,16.89
"3715","Slovenia",2020,35.45,17.39
"3720","South Africa",2000,25.3,8.43
"3721","South Africa",2001,25.7,8.46
"3722","South Africa",2002,25.05,8.01
"3723","South Africa",2003,24.06,8.34
"3724","South Africa",2004,25.63,8.81
"3725","South Africa",2005,25.35,9.08
"3726","South Africa",2006,23.83,9.05
"3727","South Africa",2007,24.46,8.7
"3728","South Africa",2008,22.85,8.41
"3729","South Africa",2009,23.85,8.72
"3730","South Africa",2010,23.53,8.59
"3731","South Africa",2011,22.97,8.53
"3732","South Africa",2012,24.08,8.38
"3733","South Africa",2013,22.6,8.55
"3734","South Africa",2014,22.8,8.45
"3735","South Africa",2015,23.58,8.86
"3736","South Africa",2016,25.15,9.43
"3737","South Africa",2017,23.51,9.15
"3738","South Africa",2018,22.86,8.9
"3754","South Korea",2000,51.7,12.09
"3755","South Korea",2001,51.93,12.02
"3756","South Korea",2002,51.92,12.61
"3757","South Korea",2003,50.36,12.18
"3758","South Korea",2004,50.58,11.9
"3759","South Korea",2005,49.67,12.15
"3760","South Korea",2006,49.54,11.46
"3761","South Korea",2007,47.67,11.38
"3762","South Korea",2008,46.69,11.28
"3763","South Korea",2009,44.13,11.14
"3764","South Korea",2010,44.27,11.07
"3765","South Korea",2011,42.54,11
"3766","South Korea",2012,42.8,10.77
"3767","South Korea",2013,41.6,10.71
"3768","South Korea",2014,40.59,10.25
"3769","South Korea",2015,38.1,9.96
"3770","South Korea",2016,38.28,9.31
"3771","South Korea",2017,36.13,8.96
"3772","South Korea",2018,33.99,8.48
"3773","South Korea",2019,33.55,8.49
"3823","Spain",2000,52.02,5.24
"3824","Spain",2001,53.19,5.39
"3825","Spain",2002,51.4,5.73
"3826","Spain",2003,51.82,5.98
"3827","Spain",2004,51.23,6.48
"3828","Spain",2005,49.87,6.32
"3829","Spain",2006,49.56,6.76
"3830","Spain",2007,49.15,6.95
"3831","Spain",2008,48.01,7.48
"3832","Spain",2009,47.46,7.62
"3833","Spain",2010,46.61,8.33
"3834","Spain",2011,46.22,8.33
"3835","Spain",2012,45.17,8.85
"3836","Spain",2013,43.81,9.27
"3837","Spain",2014,42.18,9
"3838","Spain",2015,41.48,9.61
"3839","Spain",2016,41.44,9.8
"3840","Spain",2017,39.7,10.21
"3841","Spain",2018,38.89,10.19
"3842","Spain",2019,37.32,10.32
"3843","Spain",2020,35.93,10.42
"3869","Sri Lanka",2000,4.81,1.47
"3870","Sri Lanka",2001,5.32,1.47
"3871","Sri Lanka",2002,4.83,1.22
"3872","Sri Lanka",2003,5.28,1.55
"3873","Sri Lanka",2004,6.49,1.86
"3874","Sri Lanka",2005,6.07,2.11
"3875","Sri Lanka",2006,6.68,1.94
"3876","Sri Lanka",2007,7.68,2.44
"3877","Sri Lanka",2009,8.63,2.41
"3878","Sri Lanka",2010,8.41,2.09
"3879","Sri Lanka",2011,9.5,2.9
"3880","Sri Lanka",2012,7.99,2.81
"3881","Sri Lanka",2013,8.95,2.74
"3882","Sri Lanka",2014,8.8,2.92
"3910","Suriname",2000,19.38,5.27
"3911","Suriname",2001,17.81,4.16
"3912","Suriname",2002,19.67,4.81
"3913","Suriname",2003,13.9,4.83
"3914","Suriname",2004,14.61,4.13
"3915","Suriname",2005,13.25,5.92
"3916","Suriname",2006,15.69,8.3
"3917","Suriname",2007,15.48,6.68
"3918","Suriname",2008,17.13,5.05
"3919","Suriname",2009,16.24,5.88
"3920","Suriname",2010,13.31,6.22
"3921","Suriname",2011,13.17,5.02
"3922","Suriname",2012,16.86,6.75
"3923","Suriname",2013,19.08,9.71
"3924","Suriname",2014,21.58,6.94
"3974","Sweden",2000,23.79,14.71
"3975","Sweden",2001,23.8,15.91
"3976","Sweden",2002,23.25,15.66
"3977","Sweden",2003,23.57,15.36
"3978","Sweden",2004,23.24,17.11
"3979","Sweden",2005,24.2,17.64
"3980","Sweden",2006,23.21,17.16
"3981","Sweden",2007,21.54,17.66
"3982","Sweden",2008,22.42,17.49
"3983","Sweden",2009,21,17.28
"3984","Sweden",2010,21.6,16.87
"3985","Sweden",2011,21.09,16.72
"3986","Sweden",2012,20.27,16.34
"3987","Sweden",2013,19.21,17.17
"3988","Sweden",2014,18.63,17.23
"3989","Sweden",2015,18.46,16.56
"3990","Sweden",2016,17.98,16.31
"3991","Sweden",2017,17.63,16.53
"3992","Sweden",2018,16.19,15.57
"4042","Switzerland",2000,39.43,12.16
"4043","Switzerland",2001,38.78,11.5
"4044","Switzerland",2002,35.29,11.85
"4045","Switzerland",2003,35.78,12.43
"4046","Switzerland",2004,34.41,12.8
"4047","Switzerland",2005,35.71,12.63
"4048","Switzerland",2006,32.77,14.03
"4049","Switzerland",2007,33.35,14
"4050","Switzerland",2008,33.41,13.34
"4051","Switzerland",2009,30.02,14.05
"4052","Switzerland",2010,31.26,14.33
"4053","Switzerland",2011,30.17,14.84
"4054","Switzerland",2012,28.15,14.52
"4055","Switzerland",2013,27.61,14.71
"4056","Switzerland",2014,27.47,14.21
"4057","Switzerland",2015,27.46,13.86
"4058","Switzerland",2016,25.18,14.87
"4059","Switzerland",2017,25.48,14.46
"4060","Switzerland",2018,24.72,14.31
"4063","Syria",2000,8.28,4.9
"4064","Syria",2001,6.53,2.31
"4065","Syria",2002,8.39,2.16
"4066","Syria",2003,9.01,3.17
"4067","Syria",2004,8.19,2.74
"4068","Syria",2005,8.05,2.59
"4069","Syria",2006,7.77,2.68
"4070","Syria",2007,9.08,2.28
"4071","Syria",2008,11.64,3.26
"4072","Syria",2009,9.84,3.26
"4073","Syria",2010,10.43,3.25
"4091","Tajikistan",2000,5.22,2.36
"4092","Tajikistan",2001,5.13,2.58
"4093","Tajikistan",2002,6.6,2.86
"4094","Tajikistan",2003,7.8,3.45
"4095","Tajikistan",2004,7.9,3.34
"4096","Tajikistan",2005,6.78,3.49
"4097","Tajikistan",2016,6.19,3.37
"4098","Tajikistan",2017,5.51,2.89
"4127","Thailand",2000,14.21,5.69
"4128","Thailand",2002,18.03,7.03
"4129","Thailand",2003,18.82,7.31
"4130","Thailand",2004,17.89,7.21
"4131","Thailand",2005,18.41,7.11
"4132","Thailand",2006,17.35,7.26
"4133","Thailand",2007,20.4,7.95
"4134","Thailand",2008,20.47,8.02
"4135","Thailand",2009,21.1,7.96
"4136","Thailand",2010,20.67,8.57
"4137","Thailand",2011,21.94,9.01
"4138","Thailand",2012,22.21,9.07
"4139","Thailand",2013,23.29,9.55
"4140","Thailand",2014,22.81,9.72
"4141","Thailand",2015,23.53,10.23
"4142","Thailand",2016,23.12,10.2
"4143","Thailand",2017,23.14,9.9
"4144","Thailand",2018,22.1,10.42
"4145","Thailand",2019,22.45,10.26
"4191","Trinidad and Tobago",2000,15.98,3.46
"4192","Trinidad and Tobago",2001,17.37,4.37
"4193","Trinidad and Tobago",2002,15.48,4.34
"4194","Trinidad and Tobago",2003,18.46,4.5
"4195","Trinidad and Tobago",2004,17.46,2.72
"4196","Trinidad and Tobago",2005,17.08,3.56
"4197","Trinidad and Tobago",2006,16.85,3.05
"4198","Trinidad and Tobago",2007,15.48,4.57
"4199","Trinidad and Tobago",2008,15.51,4.51
"4200","Trinidad and Tobago",2009,15.45,3.72
"4201","Trinidad and Tobago",2010,17.85,4.83
"4202","Trinidad and Tobago",2011,13.51,5.17
"4203","Trinidad and Tobago",2012,15.75,3.9
"4204","Turkey",2009,50.62,7.26
"4205","Turkey",2010,51.93,7.15
"4206","Turkey",2011,52.45,7.44
"4207","Turkey",2012,52.9,7.92
"4208","Turkey",2013,56.59,7.91
"4209","Turkey",2014,55.17,8.06
"4210","Turkey",2015,53.62,8.18
"4211","Turkey",2016,53.24,8.24
"4212","Turkey",2019,46.74,7.44
"4230","Turkmenistan",2000,13.98,3.16
"4231","Turkmenistan",2001,13.38,4.59
"4232","Turkmenistan",2002,14.22,3.16
"4233","Turkmenistan",2003,9.75,2.25
"4234","Turkmenistan",2004,9.96,2.28
"4235","Turkmenistan",2005,10.54,2.6
"4236","Turkmenistan",2006,10.11,2.71
"4237","Turkmenistan",2007,10.71,2.81
"4238","Turkmenistan",2009,10.06,2.79
"4239","Turkmenistan",2010,11.92,3.5
"4240","Turkmenistan",2011,12.54,3.4
"4241","Turkmenistan",2012,9.51,2.65
"4242","Turkmenistan",2013,9.52,2.45
"4243","Turkmenistan",2014,12.59,3.33
"4244","Turkmenistan",2015,11.61,2.97
"4262","Ukraine",2000,55.07,6.32
"4263","Ukraine",2001,52.36,5.89
"4264","Ukraine",2002,51.12,5.56
"4265","Ukraine",2003,48.94,5.36
"4266","Ukraine",2004,47.88,5.58
"4267","Ukraine",2005,46.69,5.28
"4268","Ukraine",2006,46.11,5.23
"4269","Ukraine",2007,44.55,4.96
"4270","Ukraine",2008,42.9,5.04
"4271","Ukraine",2009,42.22,5.12
"4272","Ukraine",2010,41.85,5.02
"4273","Ukraine",2011,42.2,5.04
"4274","Ukraine",2012,43.62,5.44
"4275","Ukraine",2014,39.88,5.16
"4276","Ukraine",2015,37.09,4.74
"4277","Ukraine",2017,35.09,4.84
"4278","Ukraine",2018,34.16,4.79
"4279","Ukraine",2019,34.25,5.05
"4330","United Kingdom",2000,45.87,22.78
"4331","United Kingdom",2001,44.81,22.49
"4332","United Kingdom",2002,43.88,22.69
"4333","United Kingdom",2003,41.95,22.66
"4334","United Kingdom",2004,40.8,22.66
"4335","United Kingdom",2005,40.14,23
"4336","United Kingdom",2006,39.77,23.89
"4337","United Kingdom",2007,39.03,23.82
"4338","United Kingdom",2008,38.58,24.37
"4339","United Kingdom",2009,37.54,23.7
"4340","United Kingdom",2010,36.25,23.77
"4341","United Kingdom",2011,35.69,23.43
"4342","United Kingdom",2012,34.31,23.75
"4343","United Kingdom",2013,33.87,23.21
"4344","United Kingdom",2014,33.13,23.3
"4345","United Kingdom",2015,31.76,23.04
"4346","United Kingdom",2016,31.37,22.58
"4347","United Kingdom",2017,29.82,21.98
"4348","United Kingdom",2018,29.52,21.89
"4349","United Kingdom",2019,27.81,20.73
"4400","United States",2000,53.67,29.66
"4401","United States",2001,52.41,29.36
"4402","United States",2002,51.08,29.63
"4403","United States",2003,49.9,29.36
"4404","United States",2004,48.74,29.04
"4405","United States",2005,47.88,28.69
"4406","United States",2006,46.42,28.33
"4407","United States",2007,44.79,28.11
"4408","United States",2008,43.59,27.65
"4409","United States",2009,42.04,27.2
"4410","United States",2010,40.85,26.54
"4411","United States",2011,39.27,25.81
"4412","United States",2012,38.15,25.49
"4413","United States",2013,36.62,24.83
"4414","United States",2014,35.31,24.29
"4415","United States",2015,33.78,23.37
"4416","United States",2016,31.65,22.13
"4417","United States",2017,29.95,21.3
"4418","United States",2018,28.19,20.37
"4419","United States",2019,26.93,19.44
"4420","United States",2020,25.55,18.56
"4461","Uruguay",2000,53.5,6.29
"4462","Uruguay",2001,53.37,6.71
"4463","Uruguay",2002,53.55,6.64
"4464","Uruguay",2003,53.1,7.78
"4465","Uruguay",2004,47.63,7.78
"4466","Uruguay",2005,50.32,7.23
"4467","Uruguay",2006,49.71,7.04
"4468","Uruguay",2007,48.46,8.42
"4469","Uruguay",2008,48.26,10.34
"4470","Uruguay",2009,49.11,8.43
"4471","Uruguay",2010,48.13,9.89
"4472","Uruguay",2012,43.52,9.89
"4473","Uruguay",2013,44.46,10.65
"4474","Uruguay",2014,46.35,11.38
"4475","Uruguay",2015,44.11,12.21
"4476","Uruguay",2016,42.69,13.16
"4477","Uruguay",2017,41.9,11.41
"4478","Uruguay",2018,42.78,12.7
"4479","Uruguay",2019,42.69,14.24
"4497","Uzbekistan",2000,12.12,3.72
"4498","Uzbekistan",2001,11.46,3.3
"4499","Uzbekistan",2002,12.22,3.49
"4500","Uzbekistan",2003,11.2,3.57
"4501","Uzbekistan",2004,10.18,2.65
"4502","Uzbekistan",2005,10.96,3.4
"4503","Uzbekistan",2009,9.08,2.65
"4504","Uzbekistan",2010,8.81,2.81
"4505","Uzbekistan",2011,10.54,2.67
"4506","Uzbekistan",2012,9.18,3.47
"4507","Uzbekistan",2013,10.17,3.28
"4508","Uzbekistan",2014,9.68,3.02
"4509","Uzbekistan",2015,10.1,2.94
"4510","Uzbekistan",2016,9.51,3.47
"4511","Uzbekistan",2017,10.2,3.49
"4512","Uzbekistan",2018,9.18,3.19
"4513","Uzbekistan",2019,9.79,3.06
"4556","Venezuela",2000,19.27,10.09
"4557","Venezuela",2001,20.2,10.46
"4558","Venezuela",2002,19.6,10.44
"4559","Venezuela",2003,20.47,10.51
"4560","Venezuela",2004,20.82,10.69
"4561","Venezuela",2005,20.36,10.77
"4562","Venezuela",2006,20.75,10.13
"4563","Venezuela",2007,20.85,11.28
"4564","Venezuela",2008,20.33,11.66
"4565","Venezuela",2009,20.79,10.84
"4566","Venezuela",2010,21.45,10.61
"4567","Venezuela",2011,20,10.79
"4568","Venezuela",2012,19.65,11.13
"4569","Venezuela",2013,18.64,11.08
"4570","Venezuela",2014,19.58,11.09
"4571","Venezuela",2015,18.15,11.25
"4572","Venezuela",2016,17.47,10.5
